Site,sitetype,Scientific name,Present,Common Name
Q,Garden,Coereba Hveola,1,Bananaquit
R,Garden,Coereba Hveola,1,Bananaquit
S,Scrub,Coereba Hveola,1,Bananaquit
T,Forest,Coereba Hveola,1,Bananaquit
U,Garden,Coereba Hveola,1,Bananaquit
V,Garden,Coereba Hveola,1,Bananaquit
X,Garden,Coereba Hveola,1,Bananaquit
Y,Garden,Coereba Hveola,1,Bananaquit
Z,Scrub,Coereba Hveola,1,Bananaquit
AA,Garden,Coereba Hveola,0,Bananaquit
BB,Scrub,Coereba Hveola,1,Bananaquit
CC,Garden,Coereba Hveola,1,Bananaquit
DD,Garden,Coereba Hveola,1,Bananaquit
EE,Scrub,Coereba Hveola,1,Bananaquit
FF,Garden,Coereba Hveola,1,Bananaquit
A,Garden,Colinus cristatus,0,Bananaquit
B,Garden,Colinus cristatus,0,Bananaquit
C,Forest,Colinus cristatus,0,Bananaquit
D,Garden,Colinus cristatus,0,Bananaquit
E,Scrub,Colinus cristatus,0,Bananaquit
F,Scrub,Colinus cristatus,0,Bananaquit
G,Forest,Colinus cristatus,0,Bananaquit
H,Forest,Colinus cristatus,0,Bananaquit
I,Forest,Colinus cristatus,0,Bananaquit
J,Garden,Colinus cristatus,0,Bananaquit
K,Garden,Colinus cristatus,1,Bananaquit
L,Scrub,Colinus cristatus,0,Bananaquit
M,Garden,Colinus cristatus,0,Bananaquit
N,Garden,Colinus cristatus,0,Bananaquit
O,Garden,Colinus cristatus,0,Bananaquit
P,Forest,Colinus cristatus,0,Bananaquit
Q,Garden,Colinus cristatus,0,Bananaquit
R,Garden,Colinus cristatus,0,Bananaquit
S,Scrub,Colinus cristatus,0,Bananaquit
T,Forest,Colinus cristatus,0,Bananaquit
U,Garden,Colinus cristatus,1,Bananaquit
V,Garden,Colinus cristatus,0,Bananaquit
X,Garden,Colinus cristatus,1,Bananaquit
Y,Garden,Colinus cristatus,0,Bananaquit
Z,Scrub,Colinus cristatus,1,Bananaquit
AA,Garden,Colinus cristatus,0,Bananaquit
BB,Scrub,Colinus cristatus,0,Bananaquit
CC,Garden,Colinus cristatus,0,Bananaquit
DD,Garden,Colinus cristatus,0,Bananaquit
EE,Scrub,Colinus cristatus,0,Bananaquit
FF,Garden,Colinus cristatus,0,Bananaquit
A,Garden,Columbina passerina,1,Common Ground Dove
B,Garden,Columbina passerina,1,Common Ground Dove
C,Forest,Columbina passerina,0,Common Ground Dove
D,Garden,Columbina passerina,1,Common Ground Dove
E,Scrub,Columbina passerina,0,Common Ground Dove
F,Scrub,Columbina passerina,0,Common Ground Dove
G,Forest,Columbina passerina,0,Common Ground Dove
H,Forest,Columbina passerina,1,Common Ground Dove
I,Forest,Columbina passerina,0,Common Ground Dove
J,Garden,Columbina passerina,0,Common Ground Dove
K,Garden,Columbina passerina,1,Common Ground Dove
L,Scrub,Columbina passerina,0,Common Ground Dove
M,Garden,Columbina passerina,0,Common Ground Dove
N,Garden,Columbina passerina,1,Common Ground Dove
O,Garden,Columbina passerina,1,Common Ground Dove
P,Forest,Columbina passerina,0,Common Ground Dove
Q,Garden,Columbina passerina,0,Common Ground Dove
R,Garden,Columbina passerina,1,Common Ground Dove
S,Scrub,Columbina passerina,1,Common Ground Dove
T,Forest,Columbina passerina,0,Common Ground Dove
U,Garden,Columbina passerina,1,Common Ground Dove
V,Garden,Columbina passerina,1,Common Ground Dove
X,Garden,Columbina passerina,0,Common Ground Dove
Y,Garden,Columbina passerina,1,Common Ground Dove
Z,Scrub,Columbina passerina,0,Common Ground Dove
AA,Garden,Columbina passerina,0,Common Ground Dove
BB,Scrub,Columbina passerina,0,Common Ground Dove
CC,Garden,Columbina passerina,0,Common Ground Dove
DD,Garden,Columbina passerina,1,Common Ground Dove
EE,Scrub,Columbina passerina,1,Common Ground Dove
FF,Garden,Columbina passerina,0,Common Ground Dove
A,Garden,Crotophaga sulcirostris,0,Groove-billed Ani
B,Garden,Crotophaga sulcirostris,0,Groove-billed Ani
C,Forest,Crotophaga sulcirostris,0,Groove-billed Ani
D,Garden,Crotophaga sulcirostris,1,Groove-billed Ani
E,Scrub,Crotophaga sulcirostris,0,Groove-billed Ani
F,Scrub,Crotophaga sulcirostris,0,Groove-billed Ani
G,Forest,Crotophaga sulcirostris,0,Groove-billed Ani
H,Forest,Crotophaga sulcirostris,0,Groove-billed Ani
I,Forest,Crotophaga sulcirostris,0,Groove-billed Ani
J,Garden,Crotophaga sulcirostris,0,Groove-billed Ani
K,Garden,Crotophaga sulcirostris,0,Groove-billed Ani
L,Scrub,Crotophaga sulcirostris,0,Groove-billed Ani
M,Garden,Crotophaga sulcirostris,0,Groove-billed Ani
N,Garden,Crotophaga sulcirostris,0,Groove-billed Ani
O,Garden,Crotophaga sulcirostris,0,Groove-billed Ani
P,Forest,Crotophaga sulcirostris,0,Groove-billed Ani
Q,Garden,Crotophaga sulcirostris,0,Groove-billed Ani
R,Garden,Crotophaga sulcirostris,0,Groove-billed Ani
S,Scrub,Crotophaga sulcirostris,0,Groove-billed Ani
T,Forest,Crotophaga sulcirostris,0,Groove-billed Ani
U,Garden,Crotophaga sulcirostris,0,Groove-billed Ani
V,Garden,Crotophaga sulcirostris,0,Groove-billed Ani
X,Garden,Crotophaga sulcirostris,0,Groove-billed Ani
Y,Garden,Crotophaga sulcirostris,0,Groove-billed Ani
Z,Scrub,Crotophaga sulcirostris,0,Groove-billed Ani
AA,Garden,Crotophaga sulcirostris,0,Groove-billed Ani
BB,Scrub,Crotophaga sulcirostris,0,Groove-billed Ani
CC,Garden,Crotophaga sulcirostris,0,Groove-billed Ani
DD,Garden,Crotophaga sulcirostris,0,Groove-billed Ani
EE,Scrub,Crotophaga sulcirostris,0,Groove-billed Ani
FF,Garden,Crotophaga sulcirostris,0,Groove-billed Ani
A,Garden,Dendroica Yechia,0,Yellow Warbler
B,Garden,Dendroica Yechia,0,Yellow Warbler
C,Forest,Dendroica Yechia,1,Yellow Warbler
D,Garden,Dendroica Yechia,1,Yellow Warbler
E,Scrub,Dendroica Yechia,1,Yellow Warbler
F,Scrub,Dendroica Yechia,1,Yellow Warbler
G,Forest,Dendroica Yechia,0,Yellow Warbler
H,Forest,Dendroica Yechia,1,Yellow Warbler
I,Forest,Dendroica Yechia,0,Yellow Warbler
J,Garden,Dendroica Yechia,0,Yellow Warbler
K,Garden,Dendroica Yechia,1,Yellow Warbler
L,Scrub,Dendroica Yechia,1,Yellow Warbler
M,Garden,Dendroica Yechia,0,Yellow Warbler
N,Garden,Dendroica Yechia,1,Yellow Warbler
O,Garden,Dendroica Yechia,1,Yellow Warbler
P,Forest,Dendroica Yechia,0,Yellow Warbler
Q,Garden,Dendroica Yechia,0,Yellow Warbler
R,Garden,Dendroica Yechia,0,Yellow Warbler
S,Scrub,Dendroica Yechia,1,Yellow Warbler
T,Forest,Dendroica Yechia,1,Yellow Warbler
U,Garden,Dendroica Yechia,1,Yellow Warbler
V,Garden,Dendroica Yechia,1,Yellow Warbler
X,Garden,Dendroica Yechia,0,Yellow Warbler
Y,Garden,Dendroica Yechia,0,Yellow Warbler
Z,Scrub,Dendroica Yechia,1,Yellow Warbler
AA,Garden,Dendroica Yechia,0,Yellow Warbler
BB,Scrub,Dendroica Yechia,1,Yellow Warbler
CC,Garden,Dendroica Yechia,0,Yellow Warbler
DD,Garden,Dendroica Yechia,1,Yellow Warbler
EE,Scrub,Dendroica Yechia,1,Yellow Warbler
