StudyArea,Location,Species,Detections,TrapNights
West Fairmont,Center,Eastern Gray Squirrel,1,12.031
Wissahickon,Camera 2,Eastern Gray Squirrel,9,40.899
Wissahickon,Camera 4,Eastern Gray Squirrel,22,21.191
Wissahickon,Camera 5,Eastern Gray Squirrel,96,40.703
Wissahickon,Camera 6,Eastern Gray Squirrel,29,46
East Fairmount,Center,Groundhog,9,16.783
Morris Park,Camera 2,Groundhog,1,28.21
Two Gander Farm,Center,Groundhog,2,21.478
Waterloo Mill E,Center,Groundhog,2,25.901
Waterloo Mill W,Camera 2,Groundhog,2,25.794
West Fairmont,Camera 2,Groundhog,1,44.73
East Fairmount,Camera 2,Human,1,32.79
East Fairmount,Camera 3,Human,1,46.219
East Fairmount,Camera 5,Human,1,46.154
East Fairmount,Center,Human,1,16.783
Gordon Natural,Camera 2,Human,4,41.872
Gordon Natural,Camera 3,Human,12,38.859
Gordon Natural,Camera 4,Human,1,34.965
Haverford Reserve,Camera 3,Human,4,17.143
Haverford Reserve,Camera 5,Human,8,34.984
Haverford Reserve,Center,Human,116,17.938
Morris Park,Camera 3,Human,1,57.322
Morris Park,Camera 4,Human,2,40.777
Morris Park,Center,Human,1,14.775
Two Gander Farm,Camera 5,Human,1,54
Waterloo Mill W,Camera 4,Human,1,34.969
West Fairmont,Camera 5,Human,1,46
Wissahickon,Camera 2,Human,1,40.899
Wissahickon,Camera 3,Human,1,34.101
Wissahickon,Camera 4,Human,1,21.191
Wissahickon,Camera 5,Human,2,40.703
Wissahickon,Center,Human,3,11.554
Haverford Reserve,Camera 5,Mouse,3,34.984
Morris Park,Camera 3,Mouse,1,57.322
East Fairmount,Camera 3,Opossum,1,46.219
East Fairmount,Camera 4,Opossum,2,40.845
East Fairmount,Camera 5,Opossum,1,46.154
East Fairmount,Center,Opossum,1,16.783
Gordon Natural,Camera 2,Opossum,2,41.872
Gordon Natural,Camera 4,Opossum,3,34.965
Haverford Reserve,Camera 6,Opossum,1,54
Morris Park,Camera 3,Opossum,1,57.322
Morris Park,Camera 5,Opossum,1,46
Two Gander Farm,Camera 2,Opossum,3,41.849
Two Gander Farm,Camera 3,Opossum,2,24.013
Two Gander Farm,Camera 4,Opossum,1,32.983
Two Gander Farm,Center,Opossum,6,21.478
Waterloo Mill W,Camera 5,Opossum,4,34.806
Wissahickon,Camera 6,Opossum,1,46
East Fairmount,Camera 5,Rabbit,1,46.154
Haverford Reserve,Camera 6,Rabbit,12,54
Haverford Reserve,Center,Rabbit,2,17.938
Waterloo Mill E,Camera 3,Rabbit,2,35.07
Waterloo Mill E,Camera 5,Rabbit,2,34.806
Waterloo Mill E,Center,Rabbit,12,25.901
Wissahickon,Camera 6,Rabbit,1,46
East Fairmount,Camera 2,Raccoon,19,32.79
East Fairmount,Camera 3,Raccoon,42,46.219
East Fairmount,Camera 4,Raccoon,12,40.845
East Fairmount,Camera 5,Raccoon,12,46.154
East Fairmount,Center,Raccoon,3,16.783
Gordon Natural,Camera 3,Raccoon,3,38.859
Gordon Natural,Camera 4,Raccoon,16,34.965
Gordon Natural,Camera 6,Raccoon,23,54
Harmony Hill,Camera 2,Raccoon,1,19.071
Harmony Hill,Camera 3,Raccoon,7,21.901
Harmony Hill,Camera 4,Raccoon,2,34.974
Harmony Hill,Camera 5,Raccoon,4,54
Harmony Hill,Center,Raccoon,15,43.713
Haverford Reserve,Camera 2,Raccoon,24,47.615
Haverford Reserve,Camera 4,Raccoon,1,26.216
Haverford Reserve,Camera 5,Raccoon,17,34.984
Haverford Reserve,Camera 6,Raccoon,29,54
Haverford Reserve,Center,Raccoon,1,17.938
Morris Park,Camera 2,Raccoon,29,28.21
Morris Park,Camera 3,Raccoon,12,57.322
Morris Park,Camera 4,Raccoon,26,40.777
Morris Park,Camera 5,Raccoon,167,46
Morris Park,Center,Raccoon,3,14.775
Two Gander Farm,Camera 2,Raccoon,2,41.849
Two Gander Farm,Camera 3,Raccoon,2,24.013
Two Gander Farm,Camera 4,Raccoon,5,32.983
Two Gander Farm,Camera 5,Raccoon,3,54
Waterloo Mill E,Camera 3,Raccoon,5,35.07
Waterloo Mill E,Camera 4,Raccoon,2,17.919
Waterloo Mill E,Camera 5,Raccoon,1,34.806
Waterloo Mill E,Camera 6,Raccoon,6,54
Waterloo Mill E,Center,Raccoon,4,25.901
Waterloo Mill W,Camera 3,Raccoon,14,53.111
Waterloo Mill W,Camera 4,Raccoon,6,34.969
Waterloo Mill W,Camera 5,Raccoon,17,34.806
West Fairmont,Camera 2,Raccoon,12,44.73
West Fairmont,Camera 3,Raccoon,4,37.257
West Fairmont,Camera 4,Raccoon,3,40.849
West Fairmont,Camera 5,Raccoon,14,46
West Fairmont,Center,Raccoon,7,12.031
Wissahickon,Camera 2,Raccoon,3,40.899
Wissahickon,Camera 4,Raccoon,5,21.191
Wissahickon,Camera 5,Raccoon,52,40.703
Wissahickon,Camera 6,Raccoon,11,46
East Fairmount,Center,Raptor,1,16.783
Wissahickon,Camera 5,Raptor,1,40.703
East Fairmount,Camera 2,Red fox,60,32.79
East Fairmount,Camera 3,Red fox,53,46.219
East Fairmount,Camera 4,Red fox,4,40.845
East Fairmount,Camera 5,Red fox,14,46.154
East Fairmount,Center,Red fox,176,16.783
Gordon Natural,Camera 2,Red fox,4,41.872
Gordon Natural,Camera 3,Red fox,7,38.859
Gordon Natural,Camera 4,Red fox,12,34.965
Gordon Natural,Camera 6,Red fox,5,54
Gordon Natural,Center,Red fox,2,17.143
Harmony Hill,Camera 3,Red fox,1,21.901
Harmony Hill,Camera 5,Red fox,1,54
Harmony Hill,Center,Red fox,4,43.713
Haverford Reserve,Camera 3,Red fox,4,17.143
Haverford Reserve,Camera 5,Red fox,2,34.984
Haverford Reserve,Camera 6,Red fox,7,54
Morris Park,Camera 2,Red fox,1,28.21
Morris Park,Camera 3,Red fox,16,57.322
Morris Park,Camera 4,Red fox,11,40.777
Morris Park,Camera 5,Red fox,17,46
Two Gander Farm,Camera 2,Red fox,1,41.849
Two Gander Farm,Camera 5,Red fox,5,54
Waterloo Mill E,Camera 4,Red fox,5,17.919
Waterloo Mill E,Camera 5,Red fox,5,34.806
Waterloo Mill E,Camera 6,Red fox,2,54
Waterloo Mill E,Center,Red fox,5,25.901
Waterloo Mill W,Camera 2,Red fox,1,25.794
Waterloo Mill W,Camera 3,Red fox,3,53.111
Waterloo Mill W,Camera 4,Red fox,3,34.969
Waterloo Mill W,Camera 5,Red fox,12,34.806
West Fairmont,Camera 2,Red fox,24,44.73
West Fairmont,Camera 3,Red fox,5,37.257
West Fairmont,Camera 4,Red fox,8,40.849
West Fairmont,Camera 5,Red fox,16,46
West Fairmont,Center,Red fox,1,12.031
Wissahickon,Camera 2,Red fox,10,40.899
Wissahickon,Camera 3,Red fox,4,34.101
Wissahickon,Camera 4,Red fox,12,21.191
Wissahickon,Camera 5,Red fox,21,40.703
Wissahickon,Camera 6,Red fox,3,46
Two Gander Farm,Camera 2,Skunk,1,41.849
Waterloo Mill W,Camera 3,Skunk,2,53.111
Gordon Natural,Camera 6,Southern Flying squirrel,12,54
Waterloo Mill W,Camera 5,Southern Flying squirrel,11,34.806
East Fairmount,Camera 2,White-tailed deer,8,32.79
East Fairmount,Camera 3,White-tailed deer,19,46.219
East Fairmount,Camera 4,White-tailed deer,34,40.845
East Fairmount,Camera 5,White-tailed deer,50,46.154
East Fairmount,Center,White-tailed deer,4,16.783
Gordon Natural,Camera 2,White-tailed deer,13,41.872
Gordon Natural,Camera 3,White-tailed deer,11,38.859
Gordon Natural,Camera 4,White-tailed deer,31,34.965
Gordon Natural,Camera 6,White-tailed deer,64,54
Gordon Natural,Center,White-tailed deer,8,17.143
